大家都喜欢那句为你千千万万遍我却喜欢我们有什么权利指责别人的过去,力荐
念及那些如风往事冷暖自知也许谁的生命里都有一只想要挽回的风筝谁没有令自己痛悔的事谁能保证自己的心灵永在阳光的照耀下但重回那个被时光深埋的地点重新面对心灵的考问不是每个人都有那份勇气即使那儿有再次成为好人的路,力荐
所有的罪只可忏悔无可救赎,较差
为什么忠诚善良的人反而遭到这样的结局面对阿米尔的污蔑他和阿里选择离去当房屋需要他时他又毅然决然的选择坚守为了阿米尔能够得到父亲的赞许哈桑却受到那样的凌辱换来的却是懦弱的阿米尔的回避身份阶级好可笑的头衔生命与忠诚在那些虚无的名誉不值一提犹如草芥浮萍,力荐
,力荐
一般般炒作的恶心,还行
过誉,推荐
①故事残忍笔法温细②哈桑的无我阿塞夫的残暴拉辛汗的洞察索拉雅的包容除了作者似乎他们都只有某一面③不止一次想起喀布尔安魂曲,推荐
追到的只有自己的过去救赎的只有自己的现在,null
看了一大半我想我不会继续看了卡米尔已经让我十分生气十分生气我甚至觉得自己一开始不该喜欢作者的小笑话以及作者让我想起了自己在掩饰的懦弱非常可恨,null
两年前我在美国上一门英语课坐在我旁边的男孩就来自阿富汗当他用英语说出这个名字的时候我们都以为他穿过重重战火和历史的沉疴而来身上闪耀着神圣的荣光而他只是一个普通的阿富汗男孩好像天空下奔跑着追风筝的人,力荐
非常好的一本通俗小说适合拍电影的好脚本里面有很多可贵的东西但情节上也有些地方不可理喻前半部非常的棒但后面落入俗套子－－但还是感动了我这是作者的处女作已经非常的了不起了,还行
翻译能不能查查字典把‘阿富汗’译成‘新政府’还情有可原但‘阿訇’为何要变成‘法师’我实在是弄不明白,较差
谁愿为我说为你千千万万遍我愿为谁说为你千千万万遍,推荐
前半部比后半部好,推荐
改变了我因为对阿富汗多年的曲解,null
往事会自行爬上来,推荐
为你千千万万遍我想小说描写了一种最为诚挚的情感而且它让你相信有些东西依然存在在这个没有人相信承诺的年代让人再次看到承诺背后那些美丽复杂的情感这是一本好看的书它让你重新思考,推荐
为你千千万万遍,力荐
来吧这里有再次成为好人的路,推荐
鸡奸处太不可思议了后面的故事有点像知音,还行
和经典文学差一大截呀,null
关于教父的比喻应该是错了不知是翻译的问题还是原作的问题,还行
鸡汤,较差
故事挺好的除去与阿塞夫重逢的脱线情节可这根本是部美国小说阿富汗仅仅是噱头回想起一次别离给我的震撼真是对它喜欢不起来,还行
你有没有做过让你后悔一生的事,力荐
从头哭到尾啊童年回忆那悲凉而充满罪恶感的气氛让我想起钢炼哈桑的善良实在太沉重了书本的感情非常触动人心,力荐
阿米尔追回了他的那只风筝五星好书,力荐
善良就是一种勇敢,力荐
流行书然而并不好看无情节无文笔,较差
几乎贯穿全书这么软弱无能的主角真少见,还行
看完的时候哭了事后却又没有感觉了奇怪,还行
在读英文版好故事但是实在太过啰嗦仿佛要忍着作者的喋喋不休才能读下去,还行
作为处女作来说雕琢痕迹太重,还行
人性的救赎卡勒德胡赛尼的文字不华丽很干净也很深沉同《灿烂千阳》一样《追风筝的人》让现代人看到了不一样的故事让我们惊讶如此繁华的世界背后还有这样沉重的悲伤,力荐
